subject ,channel name ,,channel link,, website name ,,website link
Data science,Simplilearn,,https://www.youtube.com/watch?v=X3paOmcrTjQ,,IBM,,https://www.ibm.com/topics/data-science
Data science,edureka,,https://www.youtube.com/@edurekaIN,,AWS,,https://aws.amazon.com/what-is/data-science/
Data science,freecodecamp,,https://www.youtube.com/watch?v=ua-CiDNNj30,,geeksforgeeks,,https://www.geeksforgeeks.org/what-is-data-science/
Data science,krishnaik,,https://www.youtube.com/watch?v=LZzq1zSL1bs,,Coursera,,https://www.coursera.org/learn/what-is-datascience
Data science,Btree System,,https://www.youtube.com/watch?v=hNCd_BM4T3M,,W3schools,,https://www.w3schools.com/datascience/
Data science,Simplilearn,,https://www.youtube.com/watch?v=ZcaKgqXsEbA,,Berkeley,,https://ischoolonline.berkeley.edu/data-science/what-is-data-science/
Data science,IBM Technology,,https://www.youtube.com/watch?v=RBSUwFGa6Fk,,wikipedia,,https://en.wikipedia.org/wiki/Data_science
Data science,WsCube Tech,,https://www.youtube.com/watch?v=gDZ6czwuQ18,,coursera,,https://www.coursera.org/in/articles/what-is-data-science
Data science,Intellipaat,,https://www.youtube.com/watch?v=RkVjM0SRkMs,,Michigan,,https://www.mtu.edu/data-science/what-is/
Data science,Steve Brunton,,https://www.youtube.com/watch?v=FsSrzmRawUg,,quora,,https://www.quora.com/What-is-data-science
Data Structure,freecodecamp,,https://www.youtube.com/watch?v=8hly31xKli0,,geeksforgeeks,,https://www.geeksforgeeks.org/data-structures/
Data Structure,shail & sarra,,https://www.youtube.com/watch?v=tNrNLoCqzco,,W3schools,,https://www.w3schools.com/dsa/dsa_intro.php
Data Structure,CodewithHarry,,https://www.youtube.com/watch?v=5_5oE5lgrhw&list=PLu0W_9lII9ahIappRPN0MCAgtOu3lQjQi,,techdevguide,,https://techdevguide.withgoogle.com/paths/data-structures-and-algorithms/
Data Structure,curious Freaks,,https://www.youtube.com/watch?v=IBkwl4HSY8A,,Tech Target,,https://www.techtarget.com/searchdatamanagement/definition/data-structure
Data Structure,Great Learning,,https://www.youtube.com/watch?v=MtVZAXepMPM,,javaTPoint,,https://www.javatpoint.com/data-structure-tutorial
Data Structure,GABS GLASSES,,https://www.youtube.com/watch?v=fPDQVUIxCas,,wikipedia,,https://en.wikipedia.org/wiki/Data_structure
Data Structure,Jenny's Lectures,,https://www.youtube.com/watch?v=AT14lCXuMKI&list=PLdo5W4Nhv31bbKJzrsKfMpo_grxuLl8LU,,javaTpoint,,https://javatpoint.com/data-structure-introduction
Data Structure,Apna College,,https://www.youtube.com/watch?v=VTLCoHnyACE&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt,,altexsoft,,https://www.altexsoft.com/blog/data-structure/
Data Structure,Learn Coding,,https://www.youtube.com/watch?v=-D5u5HJbISc&list=PLqleLpAMfxGAf5rrWdm92WMK3-gsrxgz5,,Built In,,https://builtin.com/data-science/data-structures
Data Structure,Neso Academy,,https://www.youtube.com/watch?v=xLetJpcjHS0&list=PLBlnK6fEyqRj9lld8sWIUNwlKfdUoPd1Y,,UnStop,,https://unstop.com/blog/what-is-data-structure
Java,Error makes Clever,,https://www.youtube.com/watch?v=IT2durkDCXM,,W3schools,,https://www.w3schools.com/java/java_intro.asp
Java,Logic First Tamil,,https://www.youtube.com/watch?v=7yr81Dnn0NY&list=PLYM2_EX_xVvVXm005Gt5unmqW6GGMjHxa,,IBM,,https://www.ibm.com/topics/java
Java,CodewithHarry,,https://www.youtube.com/watch?v=ntLJmHOJ0ME&list=PLu0W_9lII9agS67Uits0UnJyrYiXhDS6q,,AWS,,https://aws.amazon.com/what-is/java/
Java,Telusko,,https://www.youtube.com/watch?v=bm0OyhwFDuY&list=PLsyeobzWxl7pe_IiTfNyr55kwJPWbgxB5,,geeksforgeeks,,https://www.geeksforgeeks.org/introduction-to-java/
Java,freecodecamp,,https://www.youtube.com/watch?v=grEKMHGYyns,,javaTPoint,,https://www.javatpoint.com/java-oops-concepts
Java,Data Engineering,,https://www.youtube.com/watch?v=K-4pZjy6M2U&t=956s,,Tutorial Point,,https://www.tutorialspoint.com/java/java_oops_concepts.htm
Java,Code io,,https://www.youtube.com/watch?v=Gex-j7GlCHc,,Tech Affinity,,https://techaffinity.com/blog/oops-concepts-in-java/
Java,Apna College,,https://www.youtube.com/watch?v=bSrm9RXwBaI,,freecodecamp,,https://www.freecodecamp.org/news/object-oriented-programming-concepts-java/
Java,Kunal,,https://www.youtube.com/watch?v=BSVKUk58K6U&list=PL9gnSGHSqcno1G3XjUbwzXHL8_EttOuKk,,Oracle ,,https://docs.oracle.com/javase/tutorial//java/concepts/
Java,simplilearn,,https://www.youtube.com/watch?v=6T_HgnjoYwM,,stackify,,https://stackify.com/oops-concepts-in-java/
C,Code io,,https://www.youtube.com/watch?v=fmSnLiAv-zc,,W3schools,,https://www.w3schools.com/c/c_intro.php
C,college wallah,,https://www.youtube.com/watch?v=rQoqCP7LX60&list=PLxgZQoSe9cg1drBnejUaDD9GEJBGQ5hMt,,geeksforgeeks,,https://www.geeksforgeeks.org/c-language-introduction/
C,jenny's Lectures,,https://www.youtube.com/watch?v=EjavYOFoJJ0&list=PLdo5W4Nhv31a8UcMN9-35ghv8qyFWD9_S,,javaTPoint,,https://www.javatpoint.com/c-programming-language-tutorial
C,edureka,,https://www.youtube.com/watch?v=S_tgfu2vKqs,,shiksha Online,,https://www.shiksha.com/online-courses/what-is-c-programming-st619-tg1436
